               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11764,            0.037835,                   0,           0.0071795,             0.47727,           0.0092095,           0.0016973,             0.10773,            0.027035,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.10765,            0.049934,                   0,            0.008547,             0.56818,            0.016106,           0.0029972,            0.095205,            0.031822,                   0,            0.088294,           0.0012936,           0.0012936
                   2,             0.10033,            0.056186,                   0,            0.011788,             0.69886,            0.025472,            0.005482,            0.087566,            0.034637,                   0,             0.08198,           0.0019802,           0.0019802
                   3,            0.093781,            0.055551,                   0,            0.067578,             0.29545,            0.048047,              0.0113,            0.078336,            0.037643,                   0,             0.07566,           0.0026599,           0.0026599
                   4,            0.087077,            0.059387,                   0,             0.11419,               0.375,            0.090928,            0.023769,            0.071977,            0.041122,                   0,            0.069333,           0.0033327,           0.0033327
                   5,            0.081759,            0.057097,                   0,             0.15076,             0.41356,             0.13405,            0.037785,            0.069067,            0.038872,                   0,            0.062999,           0.0039985,           0.0039985
                   6,            0.076772,            0.055994,                   0,             0.23005,             0.30114,             0.20822,            0.048907,              0.0683,            0.035072,                   0,            0.056657,           0.0046574,           0.0046574
                   7,            0.080652,             0.05635,                   0,             0.16456,             0.45455,             0.20095,            0.051573,            0.070415,             0.03384,                   0,            0.050309,           0.0053094,           0.0053094
                   8,             0.07983,            0.054051,                   0,             0.20935,             0.23864,              0.2131,            0.064406,            0.070394,            0.032242,                   0,            0.043954,           0.0059545,           0.0059545
                   9,            0.078739,            0.056233,                   0,             0.16675,             0.45824,             0.15557,            0.033458,            0.078619,            0.031601,                   0,            0.037593,           0.0065926,           0.0065926
                  10,             0.07751,            0.053281,                   0,             0.17971,             0.40909,             0.17811,            0.043254,            0.074559,            0.031105,                   0,            0.031224,           0.0072238,           0.0072238
                  11,            0.075611,            0.053066,                   0,             0.08506,             0.52273,            0.074846,            0.023075,            0.078121,            0.030956,                   0,            0.024848,           0.0078481,           0.0078481
                  12,            0.080369,             0.04975,                   0,             0.31983,             0.46591,             0.29275,            0.079119,                0.07,            0.030895,                   0,            0.018465,           0.0084654,           0.0084654
                  13,            0.075996,            0.050648,                   0,             0.26642,             0.34091,             0.22813,            0.057137,            0.074306,            0.029755,                   0,            0.012076,           0.0090758,           0.0090758
                  14,            0.077233,            0.047836,                   0,             0.15222,             0.46591,             0.14283,            0.043801,             0.07584,            0.031109,                   0,            0.009307,            0.009307,            0.009307
                  15,            0.079122,            0.049012,                   0,             0.21318,             0.41872,             0.22772,             0.05225,             0.06997,            0.030663,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.072575,            0.049858,                   0,             0.31849,             0.53409,             0.32714,             0.11227,            0.068758,            0.031536,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.069558,            0.049287,                   0,             0.30853,             0.38068,             0.31204,             0.10833,            0.068939,            0.032185,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.070584,            0.047969,                   0,             0.43351,             0.40341,             0.41685,             0.12219,              0.0619,            0.030392,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.066858,            0.049008,                   0,             0.37121,             0.52998,             0.38426,            0.086317,            0.065611,            0.028599,                   0,            0.009109,            0.009109,            0.009109
